route_id,trip_id,service_id,direction_id,shape_id
15187,2113428,5,0,154175
15187,2113429,5,1,74258
15187,2113430,5,0,74259
15187,2113431,5,1,74258
15187,2113432,5,0,74259
15187,2113433,5,1,74258
15187,2113434,5,0,74259
15187,2113435,5,1,74258
15187,2113436,5,0,74259
15187,2113437,5,1,74258
15187,2113440,5,0,74259
15187,2113441,5,1,74258
15187,2113442,5,0,74259
15187,2113443,5,1,74258
15187,2113444,5,0,74259
15187,2113445,5,1,74258
15187,2113446,5,0,74259
15187,2113447,5,1,74258
15187,2113448,5,0,74259
15187,2113449,5,1,74258
15187,2113450,5,0,74259
15187,2113451,5,1,74258
15187,2113452,5,0,74259
15187,2113453,5,1,74258
15187,2113454,5,0,74259
15187,2113455,5,1,74258
15187,2113456,5,0,74259
15187,2113457,5,1,74258
15187,2113458,5,0,74259
15187,2113459,5,1,74258
15187,2113460,5,0,74259
15187,2113461,5,1,74258
15187,2113462,5,0,74259
15187,2113463,5,1,74258
15187,2113464,5,0,74260
15187,2113465,5,1,74258
15187,2113466,5,0,74260
15187,2113467,5,1,74258
15187,2113468,5,0,74260
15187,2113469,5,1,154192
15187,2113470,5,0,74260
15187,2113471,5,1,74258
15187,2113472,5,0,74260
15187,2113473,5,1,154192
15187,2113474,5,0,74260
15187,2113475,5,1,74258
15187,2113476,5,0,74260
15187,2113477,5,1,154192
15187,2113478,5,0,74260
15187,2113479,5,1,74258
15187,2113480,5,0,74260
15187,2113481,5,1,154192
15187,2113482,5,0,74260
15187,2113483,5,1,74258
15187,2113484,5,0,74260
15187,2113485,5,1,154192
15187,2113486,5,0,74260
15187,2113487,5,1,74258
15187,2113489,5,0,74260
15187,2113490,5,1,154192
15187,2113491,5,0,74260
15187,2113492,5,1,74258
15187,2113493,5,0,74260
15187,2113494,5,1,154192
15187,2113495,5,0,74260
15187,2113496,5,1,74258
15187,2113497,5,0,74260
15187,2113498,5,1,154192
15187,2113499,5,0,74260
15187,2113500,5,1,74258
15187,2113501,5,0,74260
15187,2113502,5,1,154192
15187,2113503,5,0,74260
15187,2113504,5,1,74258
15187,2113505,5,0,74260
15187,2113506,5,1,154192
15187,2113507,5,0,74260
15187,2113508,5,1,74258
15187,2113509,5,0,74260
15187,2113510,5,1,154192
15187,2113511,5,0,74260
15187,2113512,5,1,74258
15187,2113513,5,0,74260
15187,2113514,5,1,154192
15187,2113515,5,0,74260
15187,2113516,5,1,74258
15187,2113517,5,0,74260
15187,2113518,5,1,154192
15187,2113519,5,0,74260
15187,2113520,5,1,74258
15187,2113521,5,0,74260
15187,2113522,5,1,154192
15187,2113523,5,0,74260
15187,2113524,5,1,74258
15187,2113525,5,0,74260
15187,2113526,5,1,154192
15187,2113527,5,0,74260
15187,2113528,5,1,74258
15187,2113529,5,0,74260
15187,2113530,5,1,154192
15187,2113531,5,0,74260
15187,2113532,5,1,74258
15187,2113533,5,0,74260
15187,2113534,5,1,154192
15187,2113535,5,0,74260
15187,2113536,5,1,74258
15187,2113537,5,0,74260
15187,2113538,5,1,154192
15187,2113539,5,0,74260
15187,2113540,5,1,74258
15187,2113541,5,0,74260
15187,2113542,5,1,154192
15187,2113543,5,0,74260
15187,2113544,5,1,74258
15187,2113545,5,0,74260
15187,2113546,5,1,154192
15187,2113547,5,0,74260
15187,2113548,5,1,74258
15187,2113549,5,0,74259
15187,2113550,5,1,154192
15187,2113551,5,0,74259
15187,2113552,5,1,74258
15187,2113553,5,0,74259
15187,2113554,5,1,154192
15187,2113555,5,0,74259
15187,2113556,5,1,74258
15187,2113557,5,0,74259
15187,2113558,5,1,154192
15187,2113559,5,0,74259
15187,2113560,5,1,74258
15187,2113561,5,0,74259
15187,2113562,5,1,154192
15187,2113563,5,0,154176
15187,2113565,5,0,74259
15187,2113566,5,1,74258
15187,2113567,5,0,74259
15187,2113568,5,1,154192
15187,2113569,5,0,74259
15187,2113570,5,1,74258
15187,2113573,5,0,74259
15187,2113574,5,1,74258
15187,2113576,5,0,74259
15187,2113577,5,1,74258
15187,2113578,5,0,74259
15187,2113579,5,1,74258
15187,2113580,5,0,74259
15187,2113581,5,1,74258
15187,2113582,5,0,74259
15187,2113583,5,1,74258
15187,2113584,5,0,74259
15187,2113585,5,1,74258
15187,2113587,5,0,74259
15187,2113588,5,1,74258
15187,2113589,5,0,74259
15187,2113590,5,1,74258
15187,2113591,5,0,74259
15187,2113592,5,1,74258
15187,2113593,5,0,74259
15187,2113594,5,1,74258
15187,2113595,5,0,74259
15187,2113596,5,1,74258
15187,2113597,5,0,74259
15187,2113598,5,1,74258
15187,2113600,5,0,74259
15187,2113601,5,1,74258
15187,2113602,5,0,74259
15187,2113603,5,1,74258
15253,2114028,21,0,133438
15253,2114029,21,1,134132
15253,2114030,21,0,133438
15253,2114031,21,1,134132
15253,2114032,21,0,133438
15253,2114033,21,1,134133
15253,2114034,21,0,133441
15253,2114035,21,0,133438
15253,2114036,21,1,134132
15253,2114037,21,0,133438
15253,2114038,21,1,134132
15253,2114039,21,0,133438
15253,2114040,21,1,134132
15253,2114041,21,0,133438
15253,2114042,21,1,134132
15253,2114043,21,0,133438
15253,2114044,21,1,134132
15253,2114045,21,1,134132
15253,2114046,21,0,133438
15253,2114047,21,1,134132
15253,2114048,21,0,133438
15253,2114049,21,1,134132
15253,2114051,21,0,133438
15253,2114052,21,1,134132
15253,2114053,21,0,133438
15253,2114054,21,1,134132
15253,2114056,21,0,133438
15253,2114057,21,1,134132
15253,2114060,21,0,133442
15253,2114061,21,1,134132
15253,2114062,21,0,133438
15253,2114063,21,1,134132
15253,2114065,21,0,133438
15253,2114066,21,1,134132
15253,2114067,21,0,133438
15253,2114068,21,1,134132
15253,2114069,21,0,133442
15253,2114070,21,1,134132
15253,2114071,21,0,133438
15253,2114072,21,1,134132
15253,2114074,21,0,133438
15253,2114075,21,1,134132
15253,2114076,21,0,133438
15253,2114077,21,1,134132
15253,2114078,21,0,133438
15253,2114079,21,1,134132
15253,2114080,21,0,133438
15253,2114081,21,1,134132
15253,2114083,21,0,133438
15253,2114084,21,1,134132
15253,2114085,21,0,133438
15253,2114086,21,1,134132
15253,2114087,21,0,133438
15253,2114088,21,1,134132
15253,2114089,21,0,133438
15253,2114090,21,1,134132
15253,2114091,21,0,133438
15253,2114092,21,1,134132
15253,2114093,21,0,133438
15253,2114094,21,1,134132
15253,2114095,21,0,133442
15253,2114096,21,1,134132
15253,2114099,21,0,133438
15253,2114100,21,1,134132
15253,2114102,21,0,133438
15253,2114103,21,1,134132
15253,2114104,21,0,133438
15253,2114105,21,1,134132
15253,2114106,21,0,133438
15253,2114107,21,1,134132
15253,2114109,21,0,133438
15253,2114110,21,1,134132
15253,2114111,21,0,133438
15253,2114112,21,1,134133
15253,2114113,21,0,133441
15253,2114115,21,0,133438
15253,2114116,21,1,134132
15253,2114117,21,0,133438
15253,2114118,21,1,134132
15253,2114120,21,0,133438
15253,2114121,21,1,134132
15253,2114122,21,0,133442
15253,2114123,21,1,134132
15253,2114125,21,1,134132
15253,2114126,21,0,133438
15253,2114127,21,1,134132
15253,2114128,21,0,133438
15253,2114129,21,1,134132
15253,2114130,21,0,133438
15253,2114131,21,1,134133
15253,2114132,21,0,133441
15253,2114134,21,0,133438
15253,2114135,21,1,134132
15253,2114137,21,1,134132
15253,2114139,21,0,133438
15253,2114140,21,1,134132
23901,2114296,5,0,75367
23901,2114298,5,0,75367
23901,2114300,5,1,75368
23901,2114301,5,0,75367
23901,2114302,5,1,75368
23901,2114303,5,0,75367
23901,2114304,5,1,75368
23901,2114305,5,0,75367
23901,2114306,5,1,75368
23901,2114309,5,0,75367
23901,2114310,5,1,75368
23901,2114313,5,0,75367
23901,2114314,5,1,75368
23901,2114315,5,0,75367
23901,2114316,5,1,75368
23901,2114317,5,0,75367
23901,2114318,5,1,75368
23901,2114320,5,0,75367
23901,2114321,5,1,75368
23901,2114323,5,0,75367
23901,2114324,5,1,75368
23901,2114326,5,0,75367
23901,2114327,5,1,75368
23901,2114329,5,0,75367
23901,2114330,5,1,75368
23901,2114332,5,0,75367
23901,2114333,5,1,75368
23901,2114335,5,0,75367
23901,2114338,5,0,75367
23901,2114341,5,1,75368
23901,2114343,5,1,75368
23901,2114345,5,0,75367
23901,2114346,5,1,75368
23901,2114347,5,0,75367
23901,2114349,5,1,75368
23901,2114350,5,0,75367
23901,2114351,5,1,75368
23901,2114353,5,0,75367
23901,2114355,5,0,75367
23901,2114356,13,1,75368
23901,2114358,13,0,75367
23902,2114775,1,0,154177
23902,2114776,1,0,154177
23902,2114777,1,0,154177
23902,2114779,1,0,154984
23902,2114780,1,0,154984
23902,2114781,1,0,154984
